Code NAF|Définition|Groupe 
1071C|boulangerie et boulangerie-pâtisserie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1071D|pâtisserie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1072Z|fabrication de biscuits, biscottes et pâtisseries de conservation|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1073Z|fabrication de pâtes alimentaires|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1081Z|fabrication de sucre|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1082Z|fabrication de cacao, chocolat et de produits de confiserie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1083Z|transformation du thé et du café|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1084Z|fabrication de condiments et assaisonnements|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1085Z|fabrication de plats préparés|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1086Z|fabrication d’aliments homogénéisés et diététiques|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1089Z|fabrication d’autres produits alimentaires n.c.a.|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1091Z|fabrication d’aliments pour animaux de ferme|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1092Z|fabrication d’aliment pour animaux de compagnie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1101Z|production de boissons alcooliques distillées|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1102A|fabrication de vins effervescents|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1102B|vinification|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1103Z|fabrication de cidre et de vins de fruits|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1104Z|production d’autres boissons fermentées non distillées|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1105Z|fabrication de bière|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1106Z|fabrication de malt|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1107A|industrie des eaux de table|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1107B|production de boissons rafraichissantes|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1200Z|fabrication de produits à base de tabac|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
2910Z|construction de véhicules automobiles|Fabrication de matériels de transport
2920Z|fabrication de carrosserie et remorques|Fabrication de matériels de transport
2931Z|fabrication d’équipements électriques et électroniques automobiles|Fabrication de matériels de transport
2932Z|fabrication d’autres équipements automobiles|Fabrication de matériels de transport
3011Z|construction de navires et de structures flottantes|Fabrication de matériels de transport
3012Z|construction de bateaux de plaisance|Fabrication de matériels de transport
3020Z|construction de locomotives et d’autre matériel ferroviaire roulant|Fabrication de matériels de transport
3030Z|construction aéronautique et spatiale|Fabrication de matériels de transport
3040Z|construction de véhicules militaires de combat|Fabrication de matériels de transport
3091Z|fabrication de motocycles|Fabrication de matériels de transport
3092Z|fabrication de bicyclettes et de véhicules pour invalides|Fabrication de matériels de transport
3099Z|fabrication d’autres équipements de transport n.c.a.|Fabrication de matériels de transport
2211Z|fabrication et rechapage de pneumatiques|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2219Z|fabrication d’autres articles en caoutchouc|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2221Z|fabrication de plaques , feuilles, tubes et profilés en matières plastiques|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2222Z|fabrication d’emballages en matières plastiques|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2223Z|fabrication d’éléments en matières plastiques pour la construction|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2229A|fabrication de pièces techniques à base de matières plastiques|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2229B|fabrication de produits de consommation courante en matières plastiques|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2311Z|fabrication de verre plat|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2312Z|façonnage et transformation du verre plat|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2313Z|fabrication de verre creux|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
