siret,lng,lat,siren,RH,NAF,Activité,Groupe
33790218300033,2.3775108,48.823048,337902183,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
40214786200021,2.3282192,48.894665,402147862,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
85119609700014,5.030755,47.323936,851196097,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
82849893100017,2.4112012,48.85263,828498931,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
34396326000025,2.3698518,48.871853,343963260,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
81084752500013,5.064755,47.34866,810847525,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
50182601000016,4.745364,47.173477,501826010,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
48973661100026,4.6209006,46.988358,489736611,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
37761296500014,5.4219284,47.51789,377612965,0,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
83923447300016,2.4026153,48.854984,839234473,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
50956589100017,4.361684,47.373013,509565891,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
33252545000018,5.3086505,47.402912,332525450,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
53400559000011,4.7921257,47.01309,534005590,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
75012125300017,5.2144256,47.126633,750121253,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
40205382100011,4.3206964,47.61963,402053821,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
33779875500043,4.450027,47.55428,337798755,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
80851076200012,4.33245,47.530006,808510762,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
34127936200014,4.6047187,47.69866,341279362,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
49024355700025,4.913561,47.0972,490243557,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
78956380600015,2.3417733,48.884544,789563806,0,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
1725104200010,4.982869,47.231808,17251042,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
31796293400020,5.244346,47.223614,317962934,35,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
39241209400030,5.02773,47.35545,392412094,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
37983406200026,2.3338122,48.88954,379834062,0,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
81460906100019,2.3214297,48.870956,814609061,4,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
34974317900690,5.066472,47.346794,349743179,15,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
50483166000015,2.3012283,48.83315,504831660,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
52297548100022,5.052825,47.119457,522975481,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
35104433400032,2.350763,48.835815,351044334,0,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
75170565800019,5.005372,47.336876,751705658,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
44843086800019,4.3186784,47.61839,448430868,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
51869922800012,5.093593,46.973354,518699228,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
41321870200012,2.401697,48.85934,413218702,8,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
