siret,lng,lat,siren,RH,NAF,Activité,Groupe
96750097600022,4.7997775,45.561527,967500976,15,23.32Z,"fabrication de briques, tuiles et produits de construction, en terre cuite",Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
44935422400080,4.7770743,45.900917,449354224,150,23.32Z,"fabrication de briques, tuiles et produits de construction, en terre cuite",Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
55378059400014,4.641883,46.134697,553780594,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
39790993800144,4.812672,45.617786,397909938,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
95751393000033,4.86728,45.709396,957513930,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
30003122600016,4.729634,46.008106,300031226,75,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
39281977700039,5.029402,45.76385,392819777,75,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
39919929800031,5.023579,45.75889,399199298,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
31060168700091,4.9045405,45.684948,310601687,35,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
79836284400028,4.9219217,45.68094,798362844,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
79021377100039,4.9219217,45.68094,790213771,0,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
44794214500023,5.0259943,45.77733,447942145,8,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
80794888000016,4.936142,45.775246,807948880,4,25.11Z,fabrication de structures métalliques et de parties de structures,Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
